user_id,first_name,last_name,email,city,registration_date
U-e4b24f94,Amador,Llopis,jacintochaparro@example.net,Soria,2025-07-12 03:48:47.516168
U-aa5a66d1,Caridad,Bonet,banton@example.org,Ceuta,2025-08-18 02:41:01.995840
U-fcb6fc14,Amando,Flor,cgimenez@example.net,Zaragoza,2025-05-24 05:20:48.365628
U-d47c110c,Martina,Cuervo,rnieto@example.org,Valladolid,2025-10-04 01:30:18.916526
U-2095e1cd,Cirino,Pinto,palomarrebeca@example.com,Zaragoza,2025-03-23 15:00:09.574672
U-3595f93c,Ángel,Casanovas,jbermudez@example.com,Ourense,2024-12-06 15:03:37.168023
U-3815e02e,Buenaventura,Arroyo,maria-teresamancebo@example.org,Badajoz,2025-01-29 22:52:56.982334
U-4c9bebfc,Wilfredo,Patiño,raimundopadilla@example.org,Tarragona,2025-04-08 12:20:24.632835
U-9f9248c9,Flora,Bellido,bibianahierro@example.org,Jaén,2025-10-28 15:31:43.078101
U-8faa1d4f,Ángela,Gimenez,pia03@example.org,La Coruña,2025-02-27 07:10:38.665469
U-8f65959c,Héctor,Miranda,gabrielavalera@example.com,Burgos,2025-02-26 11:50:40.264770
U-3e98ae85,Jose Manuel,Jódar,xpujol@example.org,Málaga,2025-02-25 10:47:04.930683
U-ad03d281,Marisol,Arévalo,coronadoeulalia@example.org,Pontevedra,2025-05-19 21:37:59.369079
U-2897f60a,Rico,Solé,carolina01@example.net,Vizcaya,2024-12-13 22:56:13.741208
U-42f8c02c,Dani,Marin,dcruz@example.org,Málaga,2025-07-12 17:15:35.280013
U-5f565af1,Anunciación,Camino,prudencia89@example.org,Huesca,2025-08-25 21:13:23.909306
U-123fc047,Calista,Abascal,amaya01@example.com,Ciudad,2025-08-26 02:01:44.591170
U-1ead3029,Selena,Bermúdez,torreolalla@example.org,Barcelona,2024-12-11 21:51:32.050561
U-504a0103,Carmela,Dalmau,belen96@example.org,Teruel,2025-07-19 13:51:05.946161
U-6c9f0768,Hilda,Perea,cvillar@example.org,Ceuta,2025-03-14 13:04:08.962465
U-2b1fd3bd,Alfonso,Grau,adrianbelda@example.net,Ceuta,2024-12-14 03:18:04.666548
U-f173a0b6,Amílcar,Murillo,vilaplanajordan@example.com,Castellón,2024-12-15 08:51:40.747287
U-787f2d11,Loreto,Suárez,milagrossuarez@example.com,Badajoz,2025-06-05 14:07:25.260465
U-10c7a140,Tomás,Pablo,dreig@example.net,Soria,2024-12-26 03:32:54.157520
U-5bc85dae,Flavia,Cabello,quevedoluisa@example.com,Ciudad,2025-07-17 06:42:16.277950
U-a14f430b,Brunilda,Sanabria,telmoespanol@example.com,Ciudad,2025-01-29 16:45:48.515059
U-7204f974,Carlos,Salazar,ayusoflorinda@example.net,Ávila,2025-10-05 22:55:53.047570
